lw lq med uq uw avg pos
0.04147982062780269 0.22645739910313897 0.2537906624473207 0.4864245957510356 0.5281777653417589 0.3275876216344771 1
0.09181969949916528 0.16666666666666666 0.23994212309429702 0.43333333333333335 0.5282051282051282 0.2903793914549584 2
0.0 0.062426681837989495 0.18333333333333332 0.2983497581610851 0.398574144486692 0.17747512295998752 3
0.013377926421404684 0.013377926421404684 0.14801278113032046 0.2893725992317542 0.2960426179604262 0.15065517999673902 4
0.0 0.0 0.0891793555040939 0.1908957415565345 0.3414317420030843 0.10078083753589795 5
0.016666666666666666 0.16099773242630386 0.19533527696793004 0.337310781535676 0.49906599571290566 0.23933186495636094 6
0.04147982062780269 0.22645739910313897 0.26094750320102433 0.4316960839135923 0.4864245957510356 0.30425808136919424 10
0.1388888888888889 0.16666666666666666 0.202380587562311 0.43333333333333335 0.49394463667820065 0.2749957918102732 11
0.0 0.0 0.1605301914580265 0.22214653070451645 0.398574144486692 0.1606096752043601 12
0.013377926421404684 0.013377926421404684 0.21938864690023716 0.2893725992317542 0.2893725992317542 0.1568910838934586 13
0.0 0.0 0.03434660717796183 0.1908957415565345 0.3414317420030843 0.09936428058441782 14
0.1325478645066274 0.13333333333333333 0.19533527696793004 0.33092633483970135 0.425476029983427 0.22556964865950452 15
0.04147982062780269 0.21068746675925848 0.23309171325019962 0.3539929813645136 0.4864245957510356 0.2781622827346033 19
0.02253797158255757 0.16666666666666666 0.22158630178184205 0.42083333333333334 0.4666666666666667 0.2643461961650299 20
0.0 0.0 0.17193176239567992 0.21660393825342278 0.398574144486692 0.15594881150247206 21
0.013377926421404684 0.013377926421404684 0.25721582390913666 0.2893725992317542 0.2893725992317542 0.15750126416305182 22
0.0 0.015818431911966985 0.10449860970787095 0.1852810130147044 0.33151283451665753 0.10175175540654054 23
0.1330309901738473 0.17774943310657595 0.19533527696793004 0.2922373103459623 0.35676492819349964 0.22233698956315306 24
0.04147982062780269 0.17818259197561237 0.24360883309662346 0.407723554938445 0.4864245957510356 0.27585380157960804 28
0.1111111111111111 0.16666666666666666 0.19079582187484923 0.3805542283803154 0.48 0.2524123839698056 29
0.0 0.035046728971962614 0.18333333333333332 0.328110622896582 0.398574144486692 0.1883291969199698 30
0.013377926421404684 0.013377926421404684 0.2588526197139181 0.2893725992317542 0.317797695262484 0.1579108946061372 31
0.0 0.0 0.08964924444801836 0.17947809672075973 0.2893725992317542 0.09564180247573793 32
0.1 0.16099773242630386 0.19533527696793004 0.3013571448077346 0.5094342204282685 0.22683259451497909 33
0.04147982062780269 0.219174153006284 0.23916623151810812 0.40814986699343603 0.4864245957510356 0.27974891878757746 37
0.058559820678061085 0.16666666666666666 0.1954410953169302 0.39358975663615503 0.43333333333333335 0.2641788901464218 38
0.0 0.0 0.18333333333333332 0.3009326400044071 0.398574144486692 0.1748573145457272 39
0.013377926421404684 0.013377926421404684 0.2018094460691892 0.28427438041807296 0.2893725992317542 0.1540321223244431 40
0.0 0.0 0.03962131011538617 0.1518906020558003 0.2658576366547457 0.07596545233124413 41
0.1 0.16099773242630386 0.19380650704972935 0.3130425621914056 0.4815223537317225 0.23566749067303888 42
0.013377926421404684 0.2141292764725853 0.24000702298314058 0.44358146453817293 0.5281777653417589 0.27586196209856056 46
0.050579259677875105 0.16666666666666666 0.23466102282002205 0.36527450461680544 0.5282051282051282 0.2619407105006817 47
0.0 0.043735093052942764 0.18333333333333332 0.22103174603174602 0.374293690073227 0.16489271486123444 48
0.013377926421404684 0.033849390441255796 0.15136838346093878 0.2893725992317542 0.2960426179604262 0.15070751348237843 49
0.0 0.0 0.035755007508080736 0.1908957415565345 0.26094750320102433 0.09104094981357104 50
0.016666666666666666 0.15408163265306124 0.19533527696793004 0.29677218106991476 0.425476029983427 0.22414346722803855 51
